schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,train_observations,selected_parameter_set,objective,train_sharpe,train_max_drawdown
2,calendar_duration,AAPL,MACD_Momentum,0,2020-01-02,2022-12-30,756,fast=12;slow=26;signal=9,0.967691,0.967691,-0.180714
2,calendar_duration,AAPL,MA_Cross,1,2020-01-02,2022-12-30,756,short=5;long=50,0.875556,0.875556,-0.256350
2,calendar_duration,AAPL,RSI_Mean_Reversion,2,2020-01-02,2022-12-30,756,period=14;oversold=25;overbought=75,0.451925,0.451925,-0.297704
2,calendar_duration,AAPL,Volatility_Breakout,3,2020-01-02,2022-12-30,756,lookback=40;multiplier=1.5,0.342324,0.342324,-0.222930
2,calendar_duration,AAPL,MACD_Momentum,4,2020-07-02,2023-06-30,754,fast=12;slow=26;signal=9,0.870664,0.870664,-0.180757
2,calendar_duration,AAPL,MA_Cross,5,2020-07-02,2023-06-30,754,short=5;long=50,0.757421,0.757421,-0.180639
2,calendar_duration,AAPL,RSI_Mean_Reversion,6,2020-07-02,2023-06-30,754,period=7;oversold=20;overbought=80,0.589178,0.589178,-0.183343
2,calendar_duration,AAPL,Volatility_Breakout,7,2020-07-02,2023-06-30,754,lookback=20;multiplier=1.5,0.738479,0.738479,-0.217282
2,calendar_duration,AAPL,MACD_Momentum,8,2021-01-04,2023-12-29,753,fast=12;slow=26;signal=9,0.815992,0.815992,-0.180661
2,calendar_duration,AAPL,MA_Cross,9,2021-01-04,2023-12-29,753,short=5;long=50,0.604854,0.604854,-0.180542
2,calendar_duration,AAPL,RSI_Mean_Reversion,10,2021-01-04,2023-12-29,753,period=7;oversold=20;overbought=80,0.555527,0.555527,-0.183386
2,calendar_duration,AAPL,Volatility_Breakout,11,2021-01-04,2023-12-29,753,lookback=20;multiplier=1.5,0.855798,0.855798,-0.204832
2,calendar_duration,AAPL,MACD_Momentum,12,2021-07-02,2024-07-01,753,fast=20;slow=40;signal=10,0.685659,0.685659,-0.223791
2,calendar_duration,AAPL,MA_Cross,13,2021-07-02,2024-07-01,753,short=10;long=50,0.722570,0.722570,-0.213639
2,calendar_duration,AAPL,RSI_Mean_Reversion,14,2021-07-02,2024-07-01,753,period=7;oversold=20;overbought=80,0.648915,0.648915,-0.183196
2,calendar_duration,AAPL,Volatility_Breakout,15,2021-07-02,2024-07-01,753,lookback=20;multiplier=1.5,0.776011,0.776011,-0.204776
2,calendar_duration,AAPL,MACD_Momentum,16,2022-01-03,2024-12-31,753,fast=16;slow=32;signal=9,0.613528,0.613528,-0.197637
2,calendar_duration,AAPL,MA_Cross,17,2022-01-03,2024-12-31,753,short=10;long=200,0.858770,0.858770,-0.158931
2,calendar_duration,AAPL,RSI_Mean_Reversion,18,2022-01-03,2024-12-31,753,period=7;oversold=20;overbought=80,0.848939,0.848939,-0.183229
2,calendar_duration,AAPL,Volatility_Breakout,19,2022-01-03,2024-12-31,753,lookback=20;multiplier=1.5,0.804952,0.804952,-0.199292
2,calendar_duration,MSFT,MACD_Momentum,20,2020-01-02,2022-12-30,756,fast=8;slow=21;signal=5,0.009036,0.009036,-0.296936
2,calendar_duration,MSFT,MA_Cross,21,2020-01-02,2022-12-30,756,short=5;long=100,0.728523,0.728523,-0.140115
2,calendar_duration,MSFT,RSI_Mean_Reversion,22,2020-01-02,2022-12-30,756,period=14;oversold=30;overbought=70,0.602295,0.602295,-0.203997
2,calendar_duration,MSFT,Volatility_Breakout,23,2020-01-02,2022-12-30,756,lookback=40;multiplier=1.5,0.353692,0.353692,-0.306222
2,calendar_duration,MSFT,MACD_Momentum,24,2020-07-02,2023-06-30,754,fast=8;slow=21;signal=5,-0.046867,-0.046867,-0.307125
2,calendar_duration,MSFT,MA_Cross,25,2020-07-02,2023-06-30,754,short=5;long=100,1.211821,1.211821,-0.162027
2,calendar_duration,MSFT,RSI_Mean_Reversion,26,2020-07-02,2023-06-30,754,period=7;oversold=35;overbought=65,0.950619,0.950619,-0.201478
2,calendar_duration,MSFT,Volatility_Breakout,27,2020-07-02,2023-06-30,754,lookback=40;multiplier=2,0.517487,0.517487,-0.255126
2,calendar_duration,MSFT,MACD_Momentum,28,2021-01-04,2023-12-29,753,fast=8;slow=21;signal=5,0.115623,0.115623,-0.307233
2,calendar_duration,MSFT,MA_Cross,29,2021-01-04,2023-12-29,753,short=5;long=200,0.706354,0.706354,-0.141567
2,calendar_duration,MSFT,RSI_Mean_Reversion,30,2021-01-04,2023-12-29,753,period=14;oversold=30;overbought=70,0.742919,0.742919,-0.203778
2,calendar_duration,MSFT,Volatility_Breakout,31,2021-01-04,2023-12-29,753,lookback=20;multiplier=1.5,0.800152,0.800152,-0.250959
2,calendar_duration,MSFT,MACD_Momentum,32,2021-07-02,2024-07-01,753,fast=8;slow=21;signal=5,-0.038606,-0.038606,-0.307334
2,calendar_duration,MSFT,MA_Cross,33,2021-07-02,2024-07-01,753,short=5;long=200,1.051110,1.051110,-0.141567
2,calendar_duration,MSFT,RSI_Mean_Reversion,34,2021-07-02,2024-07-01,753,period=7;oversold=35;overbought=65,0.848150,0.848150,-0.201153
2,calendar_duration,MSFT,Volatility_Breakout,35,2021-07-02,2024-07-01,753,lookback=20;multiplier=1.5,0.663874,0.663874,-0.251043
2,calendar_duration,MSFT,MACD_Momentum,36,2022-01-03,2024-12-31,753,fast=8;slow=21;signal=5,-0.090154,-0.090154,-0.302674
2,calendar_duration,MSFT,MA_Cross,37,2022-01-03,2024-12-31,753,short=30;long=200,0.964485,0.964485,-0.164828
2,calendar_duration,MSFT,RSI_Mean_Reversion,38,2022-01-03,2024-12-31,753,period=7;oversold=35;overbought=65,0.659194,0.659194,-0.201501
2,calendar_duration,MSFT,Volatility_Breakout,39,2022-01-03,2024-12-31,753,lookback=40;multiplier=1.5,0.471280,0.471280,-0.202701
2,calendar_duration,SPY,MACD_Momentum,40,2020-01-02,2022-12-30,756,fast=20;slow=40;signal=10,0.653233,0.653233,-0.194149
2,calendar_duration,SPY,MA_Cross,41,2020-01-02,2022-12-30,756,short=10;long=100,0.635270,0.635270,-0.192799
2,calendar_duration,SPY,RSI_Mean_Reversion,42,2020-01-02,2022-12-30,756,period=14;oversold=25;overbought=75,0.451457,0.451457,-0.267678
2,calendar_duration,SPY,Volatility_Breakout,43,2020-01-02,2022-12-30,756,lookback=20;multiplier=1.5,0.282749,0.282749,-0.196838
2,calendar_duration,SPY,MACD_Momentum,44,2020-07-02,2023-06-30,754,fast=12;slow=26;signal=9,0.325026,0.325026,-0.160466
2,calendar_duration,SPY,MA_Cross,45,2020-07-02,2023-06-30,754,short=20;long=200,0.694289,0.694289,-0.071497
2,calendar_duration,SPY,RSI_Mean_Reversion,46,2020-07-02,2023-06-30,754,period=14;oversold=25;overbought=75,0.697177,0.697177,-0.140572
2,calendar_duration,SPY,Volatility_Breakout,47,2020-07-02,2023-06-30,754,lookback=20;multiplier=1.5,0.601407,0.601407,-0.164053
2,calendar_duration,SPY,MACD_Momentum,48,2021-01-04,2023-12-29,753,fast=12;slow=26;signal=9,0.115192,0.115192,-0.160026
2,calendar_duration,SPY,MA_Cross,49,2021-01-04,2023-12-29,753,short=20;long=200,0.861490,0.861490,-0.098050
2,calendar_duration,SPY,RSI_Mean_Reversion,50,2021-01-04,2023-12-29,753,period=21;oversold=35;overbought=65,0.406246,0.406246,-0.173039
2,calendar_duration,SPY,Volatility_Breakout,51,2021-01-04,2023-12-29,753,lookback=40;multiplier=2,0.815448,0.815448,-0.107600
2,calendar_duration,SPY,MACD_Momentum,52,2021-07-02,2024-07-01,753,fast=12;slow=26;signal=9,0.307294,0.307294,-0.160281
2,calendar_duration,SPY,MA_Cross,53,2021-07-02,2024-07-01,753,short=20;long=200,1.293408,1.293408,-0.098050
2,calendar_duration,SPY,RSI_Mean_Reversion,54,2021-07-02,2024-07-01,753,period=21;oversold=35;overbought=65,0.534017,0.534017,-0.173039
2,calendar_duration,SPY,Volatility_Breakout,55,2021-07-02,2024-07-01,753,lookback=10;multiplier=2,0.858569,0.858569,-0.106387
2,calendar_duration,SPY,MACD_Momentum,56,2022-01-03,2024-12-31,753,fast=12;slow=26;signal=9,0.341469,0.341469,-0.129846
2,calendar_duration,SPY,MA_Cross,57,2022-01-03,2024-12-31,753,short=20;long=200,1.315978,1.315978,-0.098050
2,calendar_duration,SPY,RSI_Mean_Reversion,58,2022-01-03,2024-12-31,753,period=7;oversold=20;overbought=80,0.585261,0.585261,-0.142713
2,calendar_duration,SPY,Volatility_Breakout,59,2022-01-03,2024-12-31,753,lookback=10;multiplier=2,0.821538,0.821538,-0.106407
2,calendar_duration,TSLA,MACD_Momentum,60,2020-01-02,2022-12-30,756,fast=20;slow=40;signal=10,1.141410,1.141410,-0.358185
2,calendar_duration,TSLA,MA_Cross,61,2020-01-02,2022-12-30,756,short=5;long=50,1.373790,1.373790,-0.335860
2,calendar_duration,TSLA,RSI_Mean_Reversion,62,2020-01-02,2022-12-30,756,period=21;oversold=25;overbought=75,0.385032,0.385032,-0.522294
2,calendar_duration,TSLA,Volatility_Breakout,63,2020-01-02,2022-12-30,756,lookback=40;multiplier=1.5,1.229525,1.229525,-0.424507
2,calendar_duration,TSLA,MACD_Momentum,64,2020-07-02,2023-06-30,754,fast=8;slow=21;signal=5,1.245011,1.245011,-0.392299
2,calendar_duration,TSLA,MA_Cross,65,2020-07-02,2023-06-30,754,short=5;long=50,1.122302,1.122302,-0.307133
2,calendar_duration,TSLA,RSI_Mean_Reversion,66,2020-07-02,2023-06-30,754,period=14;oversold=30;overbought=70,0.505128,0.505128,-0.605305
2,calendar_duration,TSLA,Volatility_Breakout,67,2020-07-02,2023-06-30,754,lookback=20;multiplier=1,1.071866,1.071866,-0.461773
2,calendar_duration,TSLA,MACD_Momentum,68,2021-01-04,2023-12-29,753,fast=8;slow=21;signal=5,1.114705,1.114705,-0.375411
2,calendar_duration,TSLA,MA_Cross,69,2021-01-04,2023-12-29,753,short=5;long=50,0.566758,0.566758,-0.348442
2,calendar_duration,TSLA,RSI_Mean_Reversion,70,2021-01-04,2023-12-29,753,period=14;oversold=30;overbought=70,0.485315,0.485315,-0.605664
2,calendar_duration,TSLA,Volatility_Breakout,71,2021-01-04,2023-12-29,753,lookback=40;multiplier=1.5,0.449769,0.449769,-0.432155
2,calendar_duration,TSLA,MACD_Momentum,72,2021-07-02,2024-07-01,753,fast=8;slow=21;signal=5,1.096154,1.096154,-0.375652
2,calendar_duration,TSLA,MA_Cross,73,2021-07-02,2024-07-01,753,short=5;long=50,0.364180,0.364180,-0.433776
2,calendar_duration,TSLA,RSI_Mean_Reversion,74,2021-07-02,2024-07-01,753,period=21;oversold=30;overbought=70,0.385282,0.385282,-0.497011
2,calendar_duration,TSLA,Volatility_Breakout,75,2021-07-02,2024-07-01,753,lookback=40;multiplier=1.5,0.645336,0.645336,-0.432102
2,calendar_duration,TSLA,MACD_Momentum,76,2022-01-03,2024-12-31,753,fast=8;slow=21;signal=5,1.190005,1.190005,-0.311305
2,calendar_duration,TSLA,MA_Cross,77,2022-01-03,2024-12-31,753,short=5;long=50,0.559238,0.559238,-0.459455
2,calendar_duration,TSLA,RSI_Mean_Reversion,78,2022-01-03,2024-12-31,753,period=14;oversold=30;overbought=70,0.498026,0.498026,-0.605807
2,calendar_duration,TSLA,Volatility_Breakout,79,2022-01-03,2024-12-31,753,lookback=40;multiplier=1,0.466369,0.466369,-0.573794
2,calendar_duration,BTC-USD,MACD_Momentum,80,2020-01-01,2022-12-31,1096,fast=12;slow=26;signal=9,0.845486,0.845486,-0.475993
2,calendar_duration,BTC-USD,MA_Cross,81,2020-01-01,2022-12-31,1096,short=5;long=100,1.176635,1.176635,-0.385531
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,82,2020-01-01,2022-12-31,1096,period=7;oversold=25;overbought=75,0.472344,0.472344,-0.508437
2,calendar_duration,BTC-USD,Volatility_Breakout,83,2020-01-01,2022-12-31,1096,lookback=10;multiplier=1.5,1.031927,1.031927,-0.449124
2,calendar_duration,BTC-USD,MACD_Momentum,84,2020-07-01,2023-06-30,1095,fast=12;slow=26;signal=9,0.950885,0.950885,-0.475703
2,calendar_duration,BTC-USD,MA_Cross,85,2020-07-01,2023-06-30,1095,short=5;long=100,1.218815,1.218815,-0.391240
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,86,2020-07-01,2023-06-30,1095,period=7;oversold=25;overbought=75,0.592273,0.592273,-0.504901
2,calendar_duration,BTC-USD,Volatility_Breakout,87,2020-07-01,2023-06-30,1095,lookback=10;multiplier=1.5,1.234458,1.234458,-0.443166
2,calendar_duration,BTC-USD,MACD_Momentum,88,2021-01-01,2023-12-31,1095,fast=12;slow=26;signal=9,0.390859,0.390859,-0.379737
2,calendar_duration,BTC-USD,MA_Cross,89,2021-01-01,2023-12-31,1095,short=5;long=150,0.569119,0.569119,-0.293903
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,90,2021-01-01,2023-12-31,1095,period=7;oversold=25;overbought=75,0.637222,0.637222,-0.482603
2,calendar_duration,BTC-USD,Volatility_Breakout,91,2021-01-01,2023-12-31,1095,lookback=10;multiplier=1.5,0.731434,0.731434,-0.419036
2,calendar_duration,BTC-USD,MACD_Momentum,92,2021-07-01,2024-06-30,1096,fast=12;slow=26;signal=9,0.676334,0.676334,-0.367386
2,calendar_duration,BTC-USD,MA_Cross,93,2021-07-01,2024-06-30,1096,short=20;long=150,0.777198,0.777198,-0.266691
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,94,2021-07-01,2024-06-30,1096,period=7;oversold=25;overbought=75,0.697568,0.697568,-0.461952
2,calendar_duration,BTC-USD,Volatility_Breakout,95,2021-07-01,2024-06-30,1096,lookback=10;multiplier=1.5,0.902944,0.902944,-0.417696
2,calendar_duration,BTC-USD,MACD_Momentum,96,2022-01-01,2024-12-31,1096,fast=8;slow=21;signal=5,0.447778,0.447778,-0.400032
2,calendar_duration,BTC-USD,MA_Cross,97,2022-01-01,2024-12-31,1096,short=5;long=150,0.930462,0.930462,-0.224284
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,98,2022-01-01,2024-12-31,1096,period=7;oversold=25;overbought=75,0.745555,0.745555,-0.425722
2,calendar_duration,BTC-USD,Volatility_Breakout,99,2022-01-01,2024-12-31,1096,lookback=10;multiplier=1.5,0.882690,0.882690,-0.319175
