date,ticker,target_weight,market_value
2020-01-02,AAPL,0.200000,20000.000000
2020-01-02,MSFT,0.200000,20000.000000
2020-01-02,SPY,0.200000,20000.000000
2020-01-02,TSLA,0.200000,20000.000000
2020-01-02,BTC-USD,0.200000,20000.000000
2020-02-03,AAPL,0.200000,20000.000000
2020-02-03,MSFT,0.200000,20000.000000
2020-02-03,SPY,0.200000,20000.000000
2020-02-03,TSLA,0.200000,20000.000000
2020-02-03,BTC-USD,0.200000,20000.000000
2020-03-04,AAPL,0.200000,20000.000000
2020-03-04,MSFT,0.200000,20000.000000
2020-03-04,SPY,0.200000,20000.000000
2020-03-04,TSLA,0.200000,20000.000000
2020-03-04,BTC-USD,0.200000,20000.000000
2020-04-02,AAPL,0.200000,20000.000000
2020-04-02,MSFT,0.200000,20000.000000
2020-04-02,SPY,0.200000,20000.000000
2020-04-02,TSLA,0.200000,20000.000000
2020-04-02,BTC-USD,0.200000,20000.000000
2020-05-04,AAPL,0.200000,20004.231755
2020-05-04,MSFT,0.200000,20004.231755
2020-05-04,SPY,0.200000,20004.231755
2020-05-04,TSLA,0.200000,20004.231755
2020-05-04,BTC-USD,0.200000,20004.231755
2020-06-03,AAPL,0.200000,21535.732188
2020-06-03,MSFT,0.200000,21535.732188
2020-06-03,SPY,0.200000,21535.732188
2020-06-03,TSLA,0.200000,21535.732188
2020-06-03,BTC-USD,0.200000,21535.732188
2020-07-02,AAPL,0.200000,25183.316812
2020-07-02,MSFT,0.200000,25183.316812
2020-07-02,SPY,0.200000,25183.316812
2020-07-02,TSLA,0.200000,25183.316812
2020-07-02,BTC-USD,0.200000,25183.316812
2020-08-03,AAPL,0.200000,27870.277669
2020-08-03,MSFT,0.200000,27870.277669
2020-08-03,SPY,0.200000,27870.277669
2020-08-03,TSLA,0.200000,27870.277669
2020-08-03,BTC-USD,0.200000,27870.277669
2020-09-01,AAPL,0.200000,34274.278649
2020-09-01,MSFT,0.200000,34274.278649
2020-09-01,SPY,0.200000,34274.278649
2020-09-01,TSLA,0.200000,34274.278649
2020-09-01,BTC-USD,0.200000,34274.278649
2020-10-01,AAPL,0.200000,31949.867547
2020-10-01,MSFT,0.200000,31949.867547
2020-10-01,SPY,0.200000,31949.867547
2020-10-01,TSLA,0.200000,31949.867547
2020-10-01,BTC-USD,0.200000,31949.867547
2020-10-30,AAPL,0.200000,29867.437884
2020-10-30,MSFT,0.200000,29867.437884
2020-10-30,SPY,0.200000,29867.437884
2020-10-30,TSLA,0.200000,29867.437884
2020-10-30,BTC-USD,0.200000,29867.437884
2020-12-01,AAPL,0.200000,32445.049960
2020-12-01,MSFT,0.200000,32445.049960
2020-12-01,SPY,0.200000,32445.049960
2020-12-01,TSLA,0.200000,32445.049960
2020-12-01,BTC-USD,0.200000,32445.049960
2020-12-31,AAPL,0.200000,34736.274101
2020-12-31,MSFT,0.200000,34736.274101
2020-12-31,SPY,0.200000,34736.274101
2020-12-31,TSLA,0.200000,34736.274101
2020-12-31,BTC-USD,0.200000,34736.274101
2021-02-02,AAPL,0.200000,38391.731084
2021-02-02,MSFT,0.200000,38391.731084
2021-02-02,SPY,0.200000,38391.731084
2021-02-02,TSLA,0.200000,38391.731084
2021-02-02,BTC-USD,0.200000,38391.731084
2021-03-04,AAPL,0.200000,33960.246931
2021-03-04,MSFT,0.200000,33960.246931
2021-03-04,SPY,0.200000,33960.246931
2021-03-04,TSLA,0.200000,33960.246931
2021-03-04,BTC-USD,0.200000,33960.246931
2021-04-05,AAPL,0.200000,35602.424625
2021-04-05,MSFT,0.200000,35602.424625
2021-04-05,SPY,0.200000,35602.424625
2021-04-05,TSLA,0.200000,35602.424625
2021-04-05,BTC-USD,0.200000,35602.424625
2021-05-04,AAPL,0.200000,35825.057872
2021-05-04,MSFT,0.200000,35825.057872
2021-05-04,SPY,0.200000,35825.057872
2021-05-04,TSLA,0.200000,35825.057872
2021-05-04,BTC-USD,0.200000,35825.057872
2021-06-03,AAPL,0.200000,35625.050359
2021-06-03,MSFT,0.200000,35625.050359
2021-06-03,SPY,0.200000,35625.050359
2021-06-03,TSLA,0.200000,35625.050359
2021-06-03,BTC-USD,0.200000,35625.050359
2021-07-02,AAPL,0.200000,41422.594232
2021-07-02,MSFT,0.200000,41422.594232
2021-07-02,SPY,0.200000,41422.594232
2021-07-02,TSLA,0.200000,41422.594232
2021-07-02,BTC-USD,0.200000,41422.594232
2021-08-03,AAPL,0.200000,42439.127858
2021-08-03,MSFT,0.200000,42439.127858
2021-08-03,SPY,0.200000,42439.127858
2021-08-03,TSLA,0.200000,42439.127858
2021-08-03,BTC-USD,0.200000,42439.127858
2021-09-01,AAPL,0.200000,47811.366899
2021-09-01,MSFT,0.200000,47811.366899
2021-09-01,SPY,0.200000,47811.366899
2021-09-01,TSLA,0.200000,47811.366899
2021-09-01,BTC-USD,0.200000,47811.366899
2021-10-01,AAPL,0.200000,50744.889909
2021-10-01,MSFT,0.200000,50744.889909
2021-10-01,SPY,0.200000,50744.889909
2021-10-01,TSLA,0.200000,50744.889909
2021-10-01,BTC-USD,0.200000,50744.889909
2021-11-01,AAPL,0.200000,55840.132577
2021-11-01,MSFT,0.200000,55840.132577
2021-11-01,SPY,0.200000,55840.132577
2021-11-01,TSLA,0.200000,55840.132577
2021-11-01,BTC-USD,0.200000,55840.132577
2021-12-01,AAPL,0.200000,54275.903388
2021-12-01,MSFT,0.200000,54275.903388
2021-12-01,SPY,0.200000,54275.903388
2021-12-01,TSLA,0.200000,54275.903388
2021-12-01,BTC-USD,0.200000,54275.903388
2021-12-31,AAPL,0.200000,53374.537049
2021-12-31,MSFT,0.200000,53374.537049
2021-12-31,SPY,0.200000,53374.537049
2021-12-31,TSLA,0.200000,53374.537049
2021-12-31,BTC-USD,0.200000,53374.537049
2022-02-01,AAPL,0.200000,51380.548912
2022-02-01,MSFT,0.200000,51380.548912
2022-02-01,SPY,0.200000,51380.548912
2022-02-01,TSLA,0.200000,51380.548912
2022-02-01,BTC-USD,0.200000,51380.548912
2022-03-03,AAPL,0.200000,51380.548912
2022-03-03,MSFT,0.200000,51380.548912
2022-03-03,SPY,0.200000,51380.548912
2022-03-03,TSLA,0.200000,51380.548912
2022-03-03,BTC-USD,0.200000,51380.548912
2022-04-01,AAPL,0.200000,51290.268318
2022-04-01,MSFT,0.200000,51290.268318
2022-04-01,SPY,0.200000,51290.268318
2022-04-01,TSLA,0.200000,51290.268318
2022-04-01,BTC-USD,0.200000,51290.268318
2022-05-03,AAPL,0.200000,50536.606140
2022-05-03,MSFT,0.200000,50536.606140
2022-05-03,SPY,0.200000,50536.606140
2022-05-03,TSLA,0.200000,50536.606140
2022-05-03,BTC-USD,0.200000,50536.606140
2022-06-02,AAPL,0.200000,51094.677148
2022-06-02,MSFT,0.200000,51094.677148
2022-06-02,SPY,0.200000,51094.677148
2022-06-02,TSLA,0.200000,51094.677148
2022-06-02,BTC-USD,0.200000,51094.677148
2022-07-05,AAPL,0.200000,48563.867773
2022-07-05,MSFT,0.200000,48563.867773
2022-07-05,SPY,0.200000,48563.867773
2022-07-05,TSLA,0.200000,48563.867773
2022-07-05,BTC-USD,0.200000,48563.867773
2022-08-03,AAPL,0.200000,51495.230222
2022-08-03,MSFT,0.200000,51495.230222
2022-08-03,SPY,0.200000,51495.230222
2022-08-03,TSLA,0.200000,51495.230222
2022-08-03,BTC-USD,0.200000,51495.230222
2022-09-01,AAPL,0.200000,51451.094546
2022-09-01,MSFT,0.200000,51451.094546
2022-09-01,SPY,0.200000,51451.094546
2022-09-01,TSLA,0.200000,51451.094546
2022-09-01,BTC-USD,0.200000,51451.094546
2022-10-03,AAPL,0.200000,48124.381285
2022-10-03,MSFT,0.200000,48124.381285
2022-10-03,SPY,0.200000,48124.381285
2022-10-03,TSLA,0.200000,48124.381285
2022-10-03,BTC-USD,0.200000,48124.381285
2022-11-01,AAPL,0.200000,47566.527275
2022-11-01,MSFT,0.200000,47566.527275
2022-11-01,SPY,0.200000,47566.527275
2022-11-01,TSLA,0.200000,47566.527275
2022-11-01,BTC-USD,0.200000,47566.527275
2022-12-01,AAPL,0.200000,47503.286275
2022-12-01,MSFT,0.200000,47503.286275
2022-12-01,SPY,0.200000,47503.286275
2022-12-01,TSLA,0.200000,47503.286275
2022-12-01,BTC-USD,0.200000,47503.286275
2023-01-03,AAPL,0.200000,46260.811116
2023-01-03,MSFT,0.200000,46260.811116
2023-01-03,SPY,0.200000,46260.811116
2023-01-03,TSLA,0.200000,46260.811116
2023-01-03,BTC-USD,0.200000,46260.811116
2023-02-02,AAPL,0.200000,46298.299844
2023-02-02,MSFT,0.200000,46298.299844
2023-02-02,SPY,0.200000,46298.299844
2023-02-02,TSLA,0.200000,46298.299844
2023-02-02,BTC-USD,0.200000,46298.299844
2023-03-06,AAPL,0.200000,44786.381509
2023-03-06,MSFT,0.200000,44786.381509
2023-03-06,SPY,0.200000,44786.381509
2023-03-06,TSLA,0.200000,44786.381509
2023-03-06,BTC-USD,0.200000,44786.381509
2023-04-04,AAPL,0.200000,45316.267754
2023-04-04,MSFT,0.200000,45316.267754
2023-04-04,SPY,0.200000,45316.267754
2023-04-04,TSLA,0.200000,45316.267754
2023-04-04,BTC-USD,0.200000,45316.267754
2023-05-04,AAPL,0.200000,43234.230832
2023-05-04,MSFT,0.200000,43234.230832
2023-05-04,SPY,0.200000,43234.230832
2023-05-04,TSLA,0.200000,43234.230832
2023-05-04,BTC-USD,0.200000,43234.230832
2023-06-05,AAPL,0.200000,43684.247160
2023-06-05,MSFT,0.200000,43684.247160
2023-06-05,SPY,0.200000,43684.247160
2023-06-05,TSLA,0.200000,43684.247160
2023-06-05,BTC-USD,0.200000,43684.247160
2023-07-06,AAPL,0.200000,46997.558750
2023-07-06,MSFT,0.200000,46997.558750
2023-07-06,SPY,0.200000,46997.558750
2023-07-06,TSLA,0.200000,46997.558750
2023-07-06,BTC-USD,0.200000,46997.558750
2023-08-04,AAPL,0.200000,45496.557948
2023-08-04,MSFT,0.200000,45496.557948
2023-08-04,SPY,0.200000,45496.557948
2023-08-04,TSLA,0.200000,45496.557948
2023-08-04,BTC-USD,0.200000,45496.557948
2023-09-05,AAPL,0.200000,44000.859615
2023-09-05,MSFT,0.200000,44000.859615
2023-09-05,SPY,0.200000,44000.859615
2023-09-05,TSLA,0.200000,44000.859615
2023-09-05,BTC-USD,0.200000,44000.859615
2023-10-04,AAPL,0.200000,43410.241351
2023-10-04,MSFT,0.200000,43410.241351
2023-10-04,SPY,0.200000,43410.241351
2023-10-04,TSLA,0.200000,43410.241351
2023-10-04,BTC-USD,0.200000,43410.241351
2023-11-02,AAPL,0.200000,40784.808376
2023-11-02,MSFT,0.200000,40784.808376
2023-11-02,SPY,0.200000,40784.808376
2023-11-02,TSLA,0.200000,40784.808376
2023-11-02,BTC-USD,0.200000,40784.808376
2023-12-04,AAPL,0.200000,40369.873324
2023-12-04,MSFT,0.200000,40369.873324
2023-12-04,SPY,0.200000,40369.873324
2023-12-04,TSLA,0.200000,40369.873324
2023-12-04,BTC-USD,0.200000,40369.873324
2024-01-04,AAPL,0.200000,40111.985667
2024-01-04,MSFT,0.200000,40111.985667
2024-01-04,SPY,0.200000,40111.985667
2024-01-04,TSLA,0.200000,40111.985667
2024-01-04,BTC-USD,0.200000,40111.985667
2024-02-05,AAPL,0.200000,40041.311174
2024-02-05,MSFT,0.200000,40041.311174
2024-02-05,SPY,0.200000,40041.311174
2024-02-05,TSLA,0.200000,40041.311174
2024-02-05,BTC-USD,0.200000,40041.311174
2024-03-06,AAPL,0.200000,37486.697015
2024-03-06,MSFT,0.200000,37486.697015
2024-03-06,SPY,0.200000,37486.697015
2024-03-06,TSLA,0.200000,37486.697015
2024-03-06,BTC-USD,0.200000,37486.697015
2024-04-05,AAPL,0.200000,37887.250045
2024-04-05,MSFT,0.200000,37887.250045
2024-04-05,SPY,0.200000,37887.250045
2024-04-05,TSLA,0.200000,37887.250045
2024-04-05,BTC-USD,0.200000,37887.250045
2024-05-06,AAPL,0.200000,37215.733397
2024-05-06,MSFT,0.200000,37215.733397
2024-05-06,SPY,0.200000,37215.733397
2024-05-06,TSLA,0.200000,37215.733397
2024-05-06,BTC-USD,0.200000,37215.733397
2024-06-05,AAPL,0.200000,38881.272152
2024-06-05,MSFT,0.200000,38881.272152
2024-06-05,SPY,0.200000,38881.272152
2024-06-05,TSLA,0.200000,38881.272152
2024-06-05,BTC-USD,0.200000,38881.272152
2024-07-08,AAPL,0.200000,45412.285567
2024-07-08,MSFT,0.200000,45412.285567
2024-07-08,SPY,0.200000,45412.285567
2024-07-08,TSLA,0.200000,45412.285567
2024-07-08,BTC-USD,0.200000,45412.285567
2024-08-06,AAPL,0.200000,41729.141424
2024-08-06,MSFT,0.200000,41729.141424
2024-08-06,SPY,0.200000,41729.141424
2024-08-06,TSLA,0.200000,41729.141424
2024-08-06,BTC-USD,0.200000,41729.141424
2024-09-05,AAPL,0.200000,40825.931469
2024-09-05,MSFT,0.200000,40825.931469
2024-09-05,SPY,0.200000,40825.931469
2024-09-05,TSLA,0.200000,40825.931469
2024-09-05,BTC-USD,0.200000,40825.931469
2024-10-04,AAPL,0.200000,41973.259675
2024-10-04,MSFT,0.200000,41973.259675
2024-10-04,SPY,0.200000,41973.259675
2024-10-04,TSLA,0.200000,41973.259675
2024-10-04,BTC-USD,0.200000,41973.259675
2024-11-04,AAPL,0.200000,41220.376099
2024-11-04,MSFT,0.200000,41220.376099
2024-11-04,SPY,0.200000,41220.376099
2024-11-04,TSLA,0.200000,41220.376099
2024-11-04,BTC-USD,0.200000,41220.376099
2024-12-04,AAPL,0.200000,45707.850432
2024-12-04,MSFT,0.200000,45707.850432
2024-12-04,SPY,0.200000,45707.850432
2024-12-04,TSLA,0.200000,45707.850432
2024-12-04,BTC-USD,0.200000,45707.850432
2025-01-06,AAPL,0.200000,47607.511634
2025-01-06,MSFT,0.200000,47607.511634
2025-01-06,SPY,0.200000,47607.511634
2025-01-06,TSLA,0.200000,47607.511634
2025-01-06,BTC-USD,0.200000,47607.511634
2025-02-06,AAPL,0.200000,45647.443104
2025-02-06,MSFT,0.200000,45647.443104
2025-02-06,SPY,0.200000,45647.443104
2025-02-06,TSLA,0.200000,45647.443104
2025-02-06,BTC-USD,0.200000,45647.443104
2025-03-10,AAPL,0.200000,43935.383561
2025-03-10,MSFT,0.200000,43935.383561
2025-03-10,SPY,0.200000,43935.383561
2025-03-10,TSLA,0.200000,43935.383561
2025-03-10,BTC-USD,0.200000,43935.383561
2025-04-08,AAPL,0.200000,43444.842907
2025-04-08,MSFT,0.200000,43444.842907
2025-04-08,SPY,0.200000,43444.842907
2025-04-08,TSLA,0.200000,43444.842907
2025-04-08,BTC-USD,0.200000,43444.842907
2025-05-08,AAPL,0.200000,43854.269377
2025-05-08,MSFT,0.200000,43854.269377
2025-05-08,SPY,0.200000,43854.269377
2025-05-08,TSLA,0.200000,43854.269377
2025-05-08,BTC-USD,0.200000,43854.269377
2025-06-09,AAPL,0.200000,45419.993484
2025-06-09,MSFT,0.200000,45419.993484
2025-06-09,SPY,0.200000,45419.993484
2025-06-09,TSLA,0.200000,45419.993484
2025-06-09,BTC-USD,0.200000,45419.993484
2025-07-10,AAPL,0.200000,46012.497670
2025-07-10,MSFT,0.200000,46012.497670
2025-07-10,SPY,0.200000,46012.497670
2025-07-10,TSLA,0.200000,46012.497670
2025-07-10,BTC-USD,0.200000,46012.497670
2025-08-08,AAPL,0.200000,49718.856366
2025-08-08,MSFT,0.200000,49718.856366
2025-08-08,SPY,0.200000,49718.856366
2025-08-08,TSLA,0.200000,49718.856366
2025-08-08,BTC-USD,0.200000,49718.856366
2025-09-09,AAPL,0.200000,50647.083815
2025-09-09,MSFT,0.200000,50647.083815
2025-09-09,SPY,0.200000,50647.083815
2025-09-09,TSLA,0.200000,50647.083815
2025-09-09,BTC-USD,0.200000,50647.083815
2025-10-08,AAPL,0.200000,57906.247396
2025-10-08,MSFT,0.200000,57906.247396
2025-10-08,SPY,0.200000,57906.247396
2025-10-08,TSLA,0.200000,57906.247396
2025-10-08,BTC-USD,0.200000,57906.247396
2025-11-06,AAPL,0.200000,59448.342277
2025-11-06,MSFT,0.200000,59448.342277
2025-11-06,SPY,0.200000,59448.342277
2025-11-06,TSLA,0.200000,59448.342277
2025-11-06,BTC-USD,0.200000,59448.342277
2025-12-08,AAPL,0.200000,55158.400448
2025-12-08,MSFT,0.200000,55158.400448
2025-12-08,SPY,0.200000,55158.400448
2025-12-08,TSLA,0.200000,55158.400448
2025-12-08,BTC-USD,0.200000,55158.400448
