schema_version,window_mode,continuity_policy,ticker,strategy,window_id,parameter_set,starting_capital,ending_capital,total_return,cumulative_oos_return,benchmark_ticker,benchmark_net_return,excess_return,excess_return_basis,sharpe,max_drawdown,trade_count,total_costs,boundary_liquidation_costs
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,100000.000000,110321.137784,0.103211,0.103211,SPY,0.146562,-0.043351,net_strategy_minus_net_benchmark,2.566795,-0.015638,2,304.862216,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,period=7;oversold=20;overbought=80,110321.137784,117328.758808,0.063520,0.173288,SPY,0.068506,-0.004986,net_strategy_minus_net_benchmark,1.080864,-0.045975,8,1307.026620,167.445265
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,2,period=7;oversold=20;overbought=80,117328.758808,123243.884542,0.050415,0.232439,SPY,0.146987,-0.096572,net_strategy_minus_net_benchmark,0.646950,-0.122365,4,690.898756,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,period=7;oversold=20;overbought=80,123243.884542,136315.500251,0.106063,0.363155,SPY,0.061679,0.044384,net_strategy_minus_net_benchmark,1.704301,-0.063684,6,1093.341474,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,136315.500251,170277.693293,0.249144,0.702777,SPY,0.045901,0.203243,net_strategy_minus_net_benchmark,1.698248,-0.087155,10,2135.187650,0.000000
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,100000.000000,119781.844644,0.197818,0.197818,SPY,0.146562,0.051256,net_strategy_minus_net_benchmark,2.887865,-0.033103,4,624.225211,0.000000
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,1,period=7;oversold=35;overbought=65,119781.844644,120665.566116,0.007378,0.206656,SPY,0.068443,-0.061065,net_strategy_minus_net_benchmark,0.186852,-0.069538,8,1332.767542,0.000000
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,120665.566116,127986.835211,0.060674,0.279868,SPY,0.147180,-0.086506,net_strategy_minus_net_benchmark,1.430090,-0.046010,2,355.980905,0.000000
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,3,period=7;oversold=35;overbought=65,127986.835211,123480.986111,-0.035206,0.234810,SPY,0.061624,-0.096829,net_strategy_minus_net_benchmark,-0.460253,-0.104495,12,2122.339670,175.706912
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,4,period=7;oversold=35;overbought=65,123480.986111,139530.008866,0.129972,0.395300,SPY,0.045857,0.084115,net_strategy_minus_net_benchmark,1.309820,-0.067711,10,1847.528545,0.000000
2,calendar_duration,continuous_capital,SPY,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,100000.000000,100000.000000,0.000000,0.000000,SPY,0.146562,-0.146562,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,SPY,RSI_Mean_Reversion,1,period=14;oversold=25;overbought=75,100000.000000,103345.006964,0.033450,0.033450,SPY,0.068532,-0.035082,net_strategy_minus_net_benchmark,0.764622,-0.084749,2,287.570917,0.000000
2,calendar_duration,continuous_capital,SPY,RSI_Mean_Reversion,2,period=21;oversold=35;overbought=65,103345.006964,108584.988757,0.050704,0.085850,SPY,0.146993,-0.096289,net_strategy_minus_net_benchmark,2.444930,-0.018203,2,304.024249,0.000000
2,calendar_duration,continuous_capital,SPY,RSI_Mean_Reversion,3,period=21;oversold=35;overbought=65,108584.988757,114567.902823,0.055099,0.145679,SPY,0.061460,-0.006361,net_strategy_minus_net_benchmark,1.794382,-0.023104,2,319.424679,0.000000
2,calendar_duration,continuous_capital,SPY,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,114567.902823,107743.015669,-0.059571,0.077430,SPY,0.045965,-0.105535,net_strategy_minus_net_benchmark,-0.465555,-0.160280,2,317.407600,0.000000
2,calendar_duration,continuous_capital,TSLA,RSI_Mean_Reversion,0,period=21;oversold=25;overbought=75,100000.000000,200043.443538,1.000434,1.000434,SPY,0.146562,0.853872,net_strategy_minus_net_benchmark,4.486130,-0.031739,4,894.300343,0.000000
2,calendar_duration,continuous_capital,TSLA,RSI_Mean_Reversion,1,period=14;oversold=30;overbought=70,200043.443538,245064.582426,0.225057,1.450646,SPY,0.068517,0.156540,net_strategy_minus_net_benchmark,1.490818,-0.128206,4,1242.206129,0.000000
2,calendar_duration,continuous_capital,TSLA,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,245064.582426,238816.855071,-0.025494,1.388169,SPY,0.147333,-0.172827,net_strategy_minus_net_benchmark,0.130022,-0.331280,2,677.601516,334.510230
2,calendar_duration,continuous_capital,TSLA,RSI_Mean_Reversion,3,period=21;oversold=30;overbought=70,238816.855071,238816.855071,0.000000,1.388169,SPY,0.061717,-0.061717,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,TSLA,RSI_Mean_Reversion,4,period=14;oversold=30;overbought=70,238816.855071,190994.943106,-0.200245,0.909949,SPY,0.045998,-0.246243,net_strategy_minus_net_benchmark,-0.447852,-0.360537,4,1169.346597,286.330791
2,calendar_duration,continuous_capital,BTC-USD,RSI_Mean_Reversion,0,period=7;oversold=25;overbought=75,100000.000000,123265.506945,0.232655,0.232655,SPY,0.146562,0.086093,net_strategy_minus_net_benchmark,1.307374,-0.123158,8,1162.555556,0.000000
2,calendar_duration,continuous_capital,BTC-USD,RSI_Mean_Reversion,1,period=7;oversold=25;overbought=75,123265.506945,134653.063745,0.092382,0.346531,SPY,0.068327,0.024055,net_strategy_minus_net_benchmark,0.863544,-0.098639,10,1607.263512,190.129946
2,calendar_duration,continuous_capital,BTC-USD,RSI_Mean_Reversion,2,period=7;oversold=25;overbought=75,134653.063745,151127.111534,0.122344,0.511271,SPY,0.144908,-0.022564,net_strategy_minus_net_benchmark,0.792606,-0.106930,8,1565.569398,187.972201
2,calendar_duration,continuous_capital,BTC-USD,RSI_Mean_Reversion,3,period=7;oversold=25;overbought=75,151127.111534,191146.873868,0.264809,0.911469,SPY,0.070803,0.194006,net_strategy_minus_net_benchmark,1.620336,-0.094246,12,2187.557978,140.097090
2,calendar_duration,continuous_capital,BTC-USD,RSI_Mean_Reversion,4,period=7;oversold=25;overbought=75,191146.873868,187935.459992,-0.016801,0.879355,SPY,0.046240,-0.063041,net_strategy_minus_net_benchmark,-0.011997,-0.150561,8,1395.742002,0.000000
