schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,test_start,test_end,train_observations,test_observations,parameter_set,in_sample_sharpe,in_sample_total_return,out_of_sample_total_return,out_of_sample_sharpe,out_of_sample_max_drawdown,out_of_sample_trades,starting_capital,ending_capital,continuity_policy,boundary_position_policy,boundary_liquidation_costs,linked_return,cumulative_oos_return,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis
2,calendar_duration,AAPL,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=12;slow=26;signal=9,0.967691,0.701489,0.209805,2.748945,-0.058723,16,100000.000000,120980.528120,continuous_capital,liquidate_at_test_end_close,172.769662,0.209805,0.209805,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,1,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=5;long=50,0.875556,0.630067,0.336469,3.282953,-0.062073,2,100000.000000,133646.899045,continuous_capital,liquidate_at_test_end_close,194.584013,0.336469,0.336469,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,2,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=25;overbought=75,0.451925,0.290203,0.103211,2.566795,-0.015638,2,100000.000000,110321.137784,continuous_capital,liquidate_at_test_end_close,0.000000,0.103211,0.103211,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,Volatility_Breakout,3,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,lookback=40;multiplier=1.5,0.342324,0.177525,0.285736,2.992304,-0.060340,2,100000.000000,128573.598984,continuous_capital,liquidate_at_test_end_close,182.949693,0.285736,0.285736,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,4,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=12;slow=26;signal=9,0.870664,0.554265,0.028167,0.576405,-0.085437,10,120980.528120,124388.245228,continuous_capital,liquidate_at_test_end_close,0.000000,0.028167,0.243882,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,5,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=5;long=50,0.757421,0.423971,-0.040213,-0.830079,-0.087146,6,133646.899045,128272.508026,continuous_capital,liquidate_at_test_end_close,184.189792,-0.040213,0.282725,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,6,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=7;oversold=20;overbought=80,0.589178,0.309541,0.063520,1.080864,-0.045975,8,110321.137784,117328.758808,continuous_capital,liquidate_at_test_end_close,167.445265,0.063520,0.173288,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,Volatility_Breakout,7,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,lookback=20;multiplier=1.5,0.738479,0.504007,0.077302,1.781049,-0.028564,4,128573.598984,138512.609196,continuous_capital,liquidate_at_test_end_close,200.356921,0.077302,0.385126,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,8,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=12;slow=26;signal=9,0.815992,0.428705,-0.000224,0.082902,-0.108380,12,124388.245228,124360.347175,continuous_capital,liquidate_at_test_end_close,0.000000,-0.000224,0.243603,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,9,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=5;long=50,0.604854,0.283937,0.106324,1.459413,-0.062823,4,128272.508026,141910.911947,continuous_capital,liquidate_at_test_end_close,203.135391,0.106324,0.419109,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,10,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,period=7;oversold=20;overbought=80,0.555527,0.255769,0.050415,0.646950,-0.122365,4,117328.758808,123243.884542,continuous_capital,liquidate_at_test_end_close,0.000000,0.050415,0.232439,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,Volatility_Breakout,11,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,lookback=20;multiplier=1.5,0.855798,0.560761,0.066077,0.816065,-0.165077,6,138512.609196,147665.055546,continuous_capital,liquidate_at_test_end_close,211.585823,0.066077,0.476651,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,12,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=20;slow=40;signal=10,0.685659,0.360795,0.017801,0.366556,-0.060000,8,124360.347175,126574.048254,continuous_capital,liquidate_at_test_end_close,182.495327,0.017801,0.265740,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,13,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=10;long=50,0.722570,0.347106,-0.003039,0.022827,-0.085030,6,141910.911947,141479.711982,continuous_capital,liquidate_at_test_end_close,202.021576,-0.003039,0.414797,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,14,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,period=7;oversold=20;overbought=80,0.648915,0.312050,0.106063,1.704301,-0.063684,6,123243.884542,136315.500251,continuous_capital,liquidate_at_test_end_close,0.000000,0.106063,0.363155,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,Volatility_Breakout,15,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,lookback=20;multiplier=1.5,0.776011,0.484332,0.062317,1.337722,-0.044279,6,147665.055546,156867.154274,continuous_capital,liquidate_at_test_end_close,223.800853,0.062317,0.568672,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,16,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=16;slow=32;signal=9,0.613528,0.301905,-0.152991,-1.434667,-0.220348,14,126574.048254,107209.414499,continuous_capital,liquidate_at_test_end_close,153.943294,-0.152991,0.072094,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,17,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=10;long=200,0.858770,0.427971,0.000000,0.000000,0.000000,0,141479.711982,141479.711982,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.414797,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,18,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,period=7;oversold=20;overbought=80,0.848939,0.455242,0.249144,1.698248,-0.087155,10,136315.500251,170277.693293,continuous_capital,liquidate_at_test_end_close,0.000000,0.249144,0.702777,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,Volatility_Breakout,19,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,lookback=20;multiplier=1.5,0.804952,0.488428,0.067470,0.812157,-0.077359,4,156867.154274,167450.916270,continuous_capital,liquidate_at_test_end_close,229.356810,0.067470,0.674509,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,20,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=8;slow=21;signal=5,0.009036,-0.051394,0.075015,0.854049,-0.083189,16,100000.000000,107501.508098,continuous_capital,liquidate_at_test_end_close,0.000000,0.075015,0.075015,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,21,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=5;long=100,0.728523,0.300314,0.347250,2.576321,-0.091228,2,100000.000000,134724.983708,continuous_capital,liquidate_at_test_end_close,195.575021,0.347250,0.347250,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,22,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=30;overbought=70,0.602295,0.444074,0.197818,2.887865,-0.033103,4,100000.000000,119781.844644,continuous_capital,liquidate_at_test_end_close,0.000000,0.197818,0.197818,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,23,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,lookback=40;multiplier=1.5,0.353692,0.178912,0.309514,2.284752,-0.096895,4,100000.000000,130951.417359,continuous_capital,liquidate_at_test_end_close,188.426065,0.309514,0.309514,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,24,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=8;slow=21;signal=5,-0.046867,-0.074671,0.047345,0.691183,-0.076290,16,107501.508098,112591.174703,continuous_capital,liquidate_at_test_end_close,160.139646,0.047345,0.125912,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,25,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=5;long=100,1.211821,0.754372,0.051996,0.771498,-0.089301,6,134724.983708,141730.123543,continuous_capital,liquidate_at_test_end_close,202.993917,0.051996,0.417301,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,26,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=7;oversold=35;overbought=65,0.950619,0.654960,0.007378,0.186852,-0.069538,8,119781.844644,120665.566116,continuous_capital,liquidate_at_test_end_close,0.000000,0.007378,0.206656,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,27,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,lookback=40;multiplier=2,0.517487,0.311891,-0.088100,-2.057074,-0.093455,4,130951.417359,119414.588862,continuous_capital,liquidate_at_test_end_close,0.000000,-0.088100,0.194146,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,28,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=8;slow=21;signal=5,0.115623,0.013306,0.105638,1.684547,-0.067507,16,112591.174703,124485.097500,continuous_capital,liquidate_at_test_end_close,176.937373,0.105638,0.244851,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,29,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=5;long=200,0.706354,0.280438,0.000000,0.000000,0.000000,0,141730.123543,141730.123543,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.417301,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,30,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,period=14;oversold=30;overbought=70,0.742919,0.439481,0.060674,1.430090,-0.046010,2,120665.566116,127986.835211,continuous_capital,liquidate_at_test_end_close,0.000000,0.060674,0.279868,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,31,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,lookback=20;multiplier=1.5,0.800152,0.496116,0.076133,1.141740,-0.094917,12,119414.588862,128505.984319,continuous_capital,liquidate_at_test_end_close,183.665029,0.076133,0.285060,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,32,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=8;slow=21;signal=5,-0.038606,-0.068176,-0.000446,0.066328,-0.083806,12,124485.097500,124429.547024,continuous_capital,liquidate_at_test_end_close,0.000000,-0.000446,0.244295,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,33,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=5;long=200,1.051110,0.545908,-0.133957,-1.903578,-0.142471,10,141730.123543,122744.408710,continuous_capital,liquidate_at_test_end_close,174.442833,-0.133957,0.227444,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,34,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,period=7;oversold=35;overbought=65,0.848150,0.517534,-0.035206,-0.460253,-0.104495,12,127986.835211,123480.986111,continuous_capital,liquidate_at_test_end_close,175.706912,-0.035206,0.234810,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,35,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,lookback=20;multiplier=1.5,0.663874,0.378835,-0.065199,-1.133672,-0.090234,6,128505.984319,120127.527341,continuous_capital,liquidate_at_test_end_close,0.000000,-0.065199,0.201275,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,36,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=8;slow=21;signal=5,-0.090154,-0.096939,-0.023756,-0.150926,-0.190123,14,124429.547024,121473.585260,continuous_capital,liquidate_at_test_end_close,174.127634,-0.023756,0.214736,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,37,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=30;long=200,0.964485,0.525576,0.072053,2.841937,-0.011937,2,122744.408710,131588.533404,continuous_capital,liquidate_at_test_end_close,191.097700,0.072053,0.315885,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,38,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,period=7;oversold=35;overbought=65,0.659194,0.372601,0.129972,1.309820,-0.067711,10,123480.986111,139530.008866,continuous_capital,liquidate_at_test_end_close,0.000000,0.129972,0.395300,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,39,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,lookback=40;multiplier=1.5,0.471280,0.242592,0.007192,0.173442,-0.146012,10,120127.527341,120991.512410,continuous_capital,liquidate_at_test_end_close,175.603292,0.007192,0.209915,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,40,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=20;slow=40;signal=10,0.653233,0.253620,0.014301,0.340749,-0.082888,10,100000.000000,101430.088674,continuous_capital,liquidate_at_test_end_close,145.568940,0.014301,0.014301,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,41,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=10;long=100,0.635270,0.228542,0.066366,1.107886,-0.071332,4,100000.000000,106636.568957,continuous_capital,liquidate_at_test_end_close,152.215924,0.066366,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,42,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=25;overbought=75,0.451457,0.236996,0.000000,0.000000,0.000000,0,100000.000000,100000.000000,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.000000,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,43,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,lookback=20;multiplier=1.5,0.282749,0.104613,0.121693,1.985743,-0.058677,8,100000.000000,112169.270649,continuous_capital,liquidate_at_test_end_close,160.192304,0.121693,0.121693,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,44,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=12;slow=26;signal=9,0.325026,0.096761,0.026168,0.759144,-0.050682,10,101430.088674,104084.275171,continuous_capital,liquidate_at_test_end_close,148.960014,0.026168,0.040843,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,45,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=20;long=200,0.694289,0.108989,0.000000,0.000000,0.000000,0,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,46,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=14;oversold=25;overbought=75,0.697177,0.282562,0.033450,0.764622,-0.084749,2,100000.000000,103345.006964,continuous_capital,liquidate_at_test_end_close,0.000000,0.033450,0.033450,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,47,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,lookback=20;multiplier=1.5,0.601407,0.227142,0.023389,0.700420,-0.053504,10,112169.270649,114792.751984,continuous_capital,liquidate_at_test_end_close,163.927289,0.023389,0.147928,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,48,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=12;slow=26;signal=9,0.115192,0.020012,0.055005,1.792851,-0.016236,10,104084.275171,109809.421497,continuous_capital,liquidate_at_test_end_close,0.000000,0.055005,0.098094,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
